year,series,event_name,session_type,circuit,rider,team,grid_position,finish_position,points,status,number,time_gap
2022,MotoGP,ARA,Race,ARA,F. Quartararo,Monster Energy Yamaha MotoGP,,,0.0,DNF,20,
2022,MotoGP,ARG,Race,ARG,A. Espargaro,Aprilia Racing,,1.0,25.0,Finished,41,41:36.198
2022,MotoGP,ARG,Race,ARG,J. Martin,Prima Pramac Racing,,2.0,20.0,Finished,89,+0.807
2022,MotoGP,ARG,Race,ARG,A. Rins,Team SUZUKI ECSTAR,,3.0,16.0,Finished,42,+1.330
2022,MotoGP,ARG,Race,ARG,J. Mir,Team SUZUKI ECSTAR,,4.0,13.0,Finished,36,+1.831
2022,MotoGP,ARG,Race,ARG,F. Bagnaia,Ducati Lenovo Team,,5.0,11.0,Finished,63,+5.840
2022,MotoGP,ARG,Race,ARG,B. Binder,Red Bull KTM Factory Racing,,6.0,10.0,Finished,33,+6.192
2022,MotoGP,ARG,Race,ARG,M. Viñales,Aprilia Racing,,7.0,9.0,Finished,12,+6.540
2022,MotoGP,ARG,Race,ARG,F. Quartararo,Monster Energy Yamaha MotoGP,,8.0,8.0,Finished,20,+10.215
2022,MotoGP,ARG,Race,ARG,M. Bezzecchi,Mooney VR46 Racing Team,,9.0,7.0,Finished,72,+12.622
2022,MotoGP,ARG,Race,ARG,E. Bastianini,Gresini Racing MotoGP,,10.0,6.0,Finished,23,+12.987
2022,MotoGP,ARG,Race,ARG,L. Marini,Mooney VR46 Racing Team,,11.0,5.0,Finished,10,+13.962
2022,MotoGP,ARG,Race,ARG,T. Nakagami,LCR Honda IDEMITSU,,12.0,4.0,Finished,30,+14.002
2022,MotoGP,ARG,Race,ARG,M. Oliveira,Red Bull KTM Factory Racing,,13.0,3.0,Finished,88,+14.456
2022,MotoGP,ARG,Race,ARG,J. Miller,Ducati Lenovo Team,,14.0,2.0,Finished,43,+14.898
2022,MotoGP,ARG,Race,ARG,A. Marquez,LCR Honda CASTROL,,15.0,1.0,Finished,73,+23.472
2022,MotoGP,ARG,Race,ARG,R. Fernandez,Tech3 KTM Factory Racing,,16.0,0.0,Finished,25,+25.862
2022,MotoGP,ARG,Race,ARG,R. Gardner,Tech3 KTM Factory Racing,,17.0,0.0,Finished,87,+28.711
2022,MotoGP,ARG,Race,ARG,D. Binder,WithU Yamaha RNF MotoGP Team,,18.0,0.0,Finished,40,+28.784
2022,MotoGP,ARG,Race,ARG,S. Bradl,Repsol Honda Team,,19.0,0.0,Finished,6,+31.943
2022,MotoGP,ARG,Race,ARG,A. Dovizioso,WithU Yamaha RNF MotoGP Team,,20.0,0.0,Finished,4,+0.000
2022,MotoGP,ARG,Race,ARG,F. Di Giannantonio,Gresini Racing MotoGP,,,0.0,DNF,49,22 laps
2022,MotoGP,ARG,Race,ARG,P. Espargaro,Repsol Honda Team,,,0.0,DNF,44,14 laps
2022,MotoGP,ARG,Race,ARG,F. Morbidelli,Monster Energy Yamaha MotoGP,,,0.0,DNF,21,7 laps
2022,MotoGP,ARG,Race,ARG,J. Zarco,Prima Pramac Racing,,,0.0,DNF,5,5 laps
2022,MotoGP,AUS,Race,AUS,A. Rins,Team SUZUKI ECSTAR,,1.0,25.0,Finished,42,40:50.654
2022,MotoGP,AUS,Race,AUS,M. Marquez,Repsol Honda Team,,2.0,20.0,Finished,93,+0.186
2022,MotoGP,AUS,Race,AUS,F. Bagnaia,Ducati Lenovo Team,,3.0,16.0,Finished,63,+0.224
2022,MotoGP,AUS,Race,AUS,M. Bezzecchi,Mooney VR46 Racing Team,,4.0,13.0,Finished,72,+0.534
2022,MotoGP,AUS,Race,AUS,E. Bastianini,Gresini Racing MotoGP,,5.0,11.0,Finished,23,+0.557
2022,MotoGP,AUS,Race,AUS,L. Marini,Mooney VR46 Racing Team,,6.0,10.0,Finished,10,+0.688
2022,MotoGP,AUS,Race,AUS,J. Martin,Prima Pramac Racing,,7.0,9.0,Finished,89,+0.884
2022,MotoGP,AUS,Race,AUS,J. Zarco,Prima Pramac Racing,,8.0,8.0,Finished,5,+3.141
2022,MotoGP,AUS,Race,AUS,A. Espargaro,Aprilia Racing,,9.0,7.0,Finished,41,+4.548
2022,MotoGP,AUS,Race,AUS,B. Binder,Red Bull KTM Factory Racing,,10.0,6.0,Finished,33,+5.940
2022,MotoGP,AUS,Race,AUS,P. Espargaro,Repsol Honda Team,,11.0,5.0,Finished,44,+11.048
2022,MotoGP,AUS,Race,AUS,M. Oliveira,Red Bull KTM Factory Racing,,12.0,4.0,Finished,88,+13.606
2022,MotoGP,AUS,Race,AUS,C. Crutchlow,WithU Yamaha RNF MotoGP Team,,13.0,3.0,Finished,35,+13.890
2022,MotoGP,AUS,Race,AUS,D. Binder,WithU Yamaha RNF MotoGP Team,,14.0,2.0,Finished,40,+14.526
2022,MotoGP,AUS,Race,AUS,R. Gardner,Tech3 KTM Factory Racing,,15.0,1.0,Finished,87,+19.470
2022,MotoGP,AUS,Race,AUS,R. Fernandez,Tech3 KTM Factory Racing,,16.0,0.0,Finished,25,+20.645
2022,MotoGP,AUS,Race,AUS,M. Viñales,Aprilia Racing,,17.0,0.0,Finished,12,+22.167
2022,MotoGP,AUS,Race,AUS,J. Mir,Team SUZUKI ECSTAR,,18.0,0.0,Finished,36,+23.489
2022,MotoGP,AUS,Race,AUS,T. Nagashima,LCR Honda IDEMITSU,,19.0,0.0,Finished,45,+39.618
2022,MotoGP,AUS,Race,AUS,F. Di Giannantonio,Gresini Racing MotoGP,,20.0,0.0,Finished,49,+39.633
2022,MotoGP,AUS,Race,AUS,F. Morbidelli,Monster Energy Yamaha MotoGP,,,0.0,DNF,21,21 laps
2022,MotoGP,AUS,Race,AUS,F. Quartararo,Monster Energy Yamaha MotoGP,,,0.0,DNF,20,10 laps
2022,MotoGP,AUS,Race,AUS,A. Marquez,LCR Honda CASTROL,,,0.0,DNF,73,8 laps
2022,MotoGP,AUS,Race,AUS,J. Miller,Ducati Lenovo Team,,,0.0,DNF,43,8 laps
2022,MotoGP,AUT,Race,AUT,F. Bagnaia,Ducati Lenovo Team,,1.0,25.0,Finished,63,42:14.886
2022,MotoGP,AUT,Race,AUT,F. Quartararo,Monster Energy Yamaha MotoGP,,2.0,20.0,Finished,20,+0.492
2022,MotoGP,AUT,Race,AUT,J. Miller,Ducati Lenovo Team,,3.0,16.0,Finished,43,+2.163
2022,MotoGP,AUT,Race,AUT,L. Marini,Mooney VR46 Racing Team,,4.0,13.0,Finished,10,+8.348
2022,MotoGP,AUT,Race,AUT,J. Zarco,Prima Pramac Racing,,5.0,11.0,Finished,5,+8.821
2022,MotoGP,AUT,Race,AUT,A. Espargaro,Aprilia Racing,,6.0,10.0,Finished,41,+11.287
2022,MotoGP,AUT,Race,AUT,B. Binder,Red Bull KTM Factory Racing,,7.0,9.0,Finished,33,+11.642
2022,MotoGP,AUT,Race,AUT,A. Rins,Team SUZUKI ECSTAR,,8.0,8.0,Finished,42,+11.780
2022,MotoGP,AUT,Race,AUT,M. Bezzecchi,Mooney VR46 Racing Team,,9.0,7.0,Finished,72,+16.987
2022,MotoGP,AUT,Race,AUT,J. Martin,Prima Pramac Racing,,10.0,6.0,Finished,89,+17.144
2022,MotoGP,AUT,Race,AUT,F. Di Giannantonio,Gresini Racing MotoGP,,11.0,5.0,Finished,49,+17.471
2022,MotoGP,AUT,Race,AUT,M. Oliveira,Red Bull KTM Factory Racing,,12.0,4.0,Finished,88,+18.035
2022,MotoGP,AUT,Race,AUT,M. Viñales,Aprilia Racing,,13.0,3.0,Finished,12,+20.012
2022,MotoGP,AUT,Race,AUT,A. Marquez,LCR Honda CASTROL,,14.0,2.0,Finished,73,+26.880
2022,MotoGP,AUT,Race,AUT,A. Dovizioso,WithU Yamaha RNF MotoGP Team,,15.0,1.0,Finished,4,+29.744
2022,MotoGP,AUT,Race,AUT,P. Espargaro,Repsol Honda Team,,16.0,0.0,Finished,44,+30.994
2022,MotoGP,AUT,Race,AUT,S. Bradl,Repsol Honda Team,,17.0,0.0,Finished,6,+37.960
2022,MotoGP,AUT,Race,AUT,R. Fernandez,Tech3 KTM Factory Racing,,18.0,0.0,Finished,25,+42.082
2022,MotoGP,AUT,Race,AUT,L. Savadori,Aprilia Racing,,19.0,0.0,Finished,32,+46.666
2022,MotoGP,AUT,Race,AUT,R. Gardner,Tech3 KTM Factory Racing,,20.0,0.0,Finished,87,+0.000
2022,MotoGP,AUT,Race,AUT,F. Morbidelli,Monster Energy Yamaha MotoGP,,,0.0,DNF,21,25 laps
2022,MotoGP,AUT,Race,AUT,D. Binder,WithU Yamaha RNF MotoGP Team,,,0.0,DNF,40,12 laps
2022,MotoGP,AUT,Race,AUT,T. Nakagami,LCR Honda IDEMITSU,,,0.0,DNF,30,9 laps
2022,MotoGP,AUT,Race,AUT,E. Bastianini,Gresini Racing MotoGP,,,0.0,DNF,23,6 laps
2022,MotoGP,AUT,Race,AUT,J. Mir,Team SUZUKI ECSTAR,,,0.0,DNF,36,
2022,MotoGP,CAT,Race,CAT,F. Quartararo,Monster Energy Yamaha MotoGP,,1.0,25.0,Finished,20,40:29.360
2022,MotoGP,CAT,Race,CAT,J. Martin,Prima Pramac Racing,,2.0,20.0,Finished,89,+6.473
2022,MotoGP,CAT,Race,CAT,J. Zarco,Prima Pramac Racing,,3.0,16.0,Finished,5,+8.385
2022,MotoGP,CAT,Race,CAT,J. Mir,Team SUZUKI ECSTAR,,4.0,13.0,Finished,36,+11.481
2022,MotoGP,CAT,Race,CAT,A. Espargaro,Aprilia Racing,,5.0,11.0,Finished,41,+14.395
2022,MotoGP,CAT,Race,CAT,L. Marini,Mooney VR46 Racing Team,,6.0,10.0,Finished,10,+15.430
2022,MotoGP,CAT,Race,CAT,M. Viñales,Aprilia Racing,,7.0,9.0,Finished,12,+15.975
2022,MotoGP,CAT,Race,CAT,B. Binder,Red Bull KTM Factory Racing,,8.0,8.0,Finished,33,+21.436
2022,MotoGP,CAT,Race,CAT,M. Oliveira,Red Bull KTM Factory Racing,,9.0,7.0,Finished,88,+26.800
2022,MotoGP,CAT,Race,CAT,A. Marquez,LCR Honda CASTROL,,10.0,6.0,Finished,73,+30.460
2022,MotoGP,CAT,Race,CAT,R. Gardner,Tech3 KTM Factory Racing,,11.0,5.0,Finished,87,+32.443
2022,MotoGP,CAT,Race,CAT,D. Binder,WithU Yamaha RNF MotoGP Team,,12.0,4.0,Finished,40,+32.881
2022,MotoGP,CAT,Race,CAT,F. Morbidelli,Monster Energy Yamaha MotoGP,,13.0,3.0,Finished,21,+33.168
2022,MotoGP,CAT,Race,CAT,J. Miller,Ducati Lenovo Team,,14.0,2.0,Finished,43,+34.693
2022,MotoGP,CAT,Race,CAT,R. Fernandez,Tech3 KTM Factory Racing,,15.0,1.0,Finished,25,+37.844
2022,MotoGP,CAT,Race,CAT,M. Pirro,Aruba.it Racing,,16.0,0.0,Finished,51,+44.533
2022,MotoGP,CAT,Race,CAT,P. Espargaro,Repsol Honda Team,,17.0,0.0,Finished,44,+46.199
2022,MotoGP,CAT,Race,CAT,A. Dovizioso,WithU Yamaha RNF MotoGP Team,,,0.0,DNF,4,17 laps
2022,MotoGP,CAT,Race,CAT,F. Di Giannantonio,Gresini Racing MotoGP,,,0.0,DNF,49,8 laps
2022,MotoGP,CAT,Race,CAT,E. Bastianini,Gresini Racing MotoGP,,,0.0,DNF,23,7 laps
2022,MotoGP,CAT,Race,CAT,M. Bezzecchi,Mooney VR46 Racing Team,,,0.0,DNF,72,5 laps
2022,MotoGP,CAT,Race,CAT,F. Bagnaia,Ducati Lenovo Team,,,0.0,DNF,63,1 laps
2022,MotoGP,CAT,Race,CAT,T. Nakagami,LCR Honda IDEMITSU,,,0.0,DNF,30,
2022,MotoGP,CAT,Race,CAT,S. Bradl,Repsol Honda Team,,,0.0,DNF,6,
2022,MotoGP,CAT,Race,CAT,A. Rins,Team SUZUKI ECSTAR,,,0.0,DNF,42,
2022,MotoGP,FRA,Race,FRA,E. Bastianini,Gresini Racing MotoGP,,1.0,25.0,Finished,23,41:34.613
2022,MotoGP,FRA,Race,FRA,J. Miller,Ducati Lenovo Team,,2.0,20.0,Finished,43,+2.718
2022,MotoGP,FRA,Race,FRA,A. Espargaro,Aprilia Racing,,3.0,16.0,Finished,41,+4.182
2022,MotoGP,FRA,Race,FRA,F. Quartararo,Monster Energy Yamaha MotoGP,,4.0,13.0,Finished,20,+4.288
2022,MotoGP,FRA,Race,FRA,J. Zarco,Prima Pramac Racing,,5.0,11.0,Finished,5,+11.139
2022,MotoGP,FRA,Race,FRA,M. Marquez,Repsol Honda Team,,6.0,10.0,Finished,93,+15.155
2022,MotoGP,FRA,Race,FRA,T. Nakagami,LCR Honda IDEMITSU,,7.0,9.0,Finished,30,+16.680
2022,MotoGP,FRA,Race,FRA,B. Binder,Red Bull KTM Factory Racing,,8.0,8.0,Finished,33,+18.459
2022,MotoGP,FRA,Race,FRA,L. Marini,Mooney VR46 Racing Team,,9.0,7.0,Finished,10,+20.541
2022,MotoGP,FRA,Race,FRA,M. Viñales,Aprilia Racing,,10.0,6.0,Finished,12,+21.486
2022,MotoGP,FRA,Race,FRA,P. Espargaro,Repsol Honda Team,,11.0,5.0,Finished,44,+22.707
2022,MotoGP,FRA,Race,FRA,M. Bezzecchi,Mooney VR46 Racing Team,,12.0,4.0,Finished,72,+23.408
2022,MotoGP,FRA,Race,FRA,F. Di Giannantonio,Gresini Racing MotoGP,,13.0,3.0,Finished,49,+26.432
2022,MotoGP,FRA,Race,FRA,A. Marquez,LCR Honda CASTROL,,14.0,2.0,Finished,73,+28.710
2022,MotoGP,FRA,Race,FRA,F. Morbidelli,Monster Energy Yamaha MotoGP,,15.0,1.0,Finished,21,+29.433
2022,MotoGP,FRA,Race,FRA,A. Dovizioso,WithU Yamaha RNF MotoGP Team,,16.0,0.0,Finished,4,+38.149
2022,MotoGP,FRA,Race,FRA,D. Binder,WithU Yamaha RNF MotoGP Team,,17.0,0.0,Finished,40,+59.748
2022,MotoGP,FRA,Race,FRA,M. Oliveira,Red Bull KTM Factory Racing,,,0.0,DNF,88,24 laps
2022,MotoGP,FRA,Race,FRA,F. Bagnaia,Ducati Lenovo Team,,,0.0,DNF,63,20 laps
2022,MotoGP,FRA,Race,FRA,J. Martin,Prima Pramac Racing,,,0.0,DNF,89,16 laps
2022,MotoGP,FRA,Race,FRA,J. Mir,Team SUZUKI ECSTAR,,,0.0,DNF,36,13 laps
2022,MotoGP,FRA,Race,FRA,R. Fernandez,Tech3 KTM Factory Racing,,,0.0,DNF,25,6 laps
2022,MotoGP,FRA,Race,FRA,A. Rins,Team SUZUKI ECSTAR,,,0.0,DNF,42,5 laps
2022,MotoGP,FRA,Race,FRA,R. Gardner,Tech3 KTM Factory Racing,,,0.0,DNF,87,3 laps
2022,MotoGP,GBR,Race,GBR,F. Bagnaia,Ducati Lenovo Team,,1.0,25.0,Finished,63,40:10.260
2022,MotoGP,GBR,Race,GBR,M. Viñales,Aprilia Racing,,2.0,20.0,Finished,12,+0.426
2022,MotoGP,GBR,Race,GBR,J. Miller,Ducati Lenovo Team,,3.0,16.0,Finished,43,+0.614
2022,MotoGP,GBR,Race,GBR,E. Bastianini,Gresini Racing MotoGP,,4.0,13.0,Finished,23,+1.651
2022,MotoGP,GBR,Race,GBR,J. Martin,Prima Pramac Racing,,5.0,11.0,Finished,89,+1.750
2022,MotoGP,GBR,Race,GBR,M. Oliveira,Red Bull KTM Factory Racing,,6.0,10.0,Finished,88,+2.727
2022,MotoGP,GBR,Race,GBR,A. Rins,Team SUZUKI ECSTAR,,7.0,9.0,Finished,42,+3.021
2022,MotoGP,GBR,Race,GBR,F. Quartararo,Monster Energy Yamaha MotoGP,,8.0,8.0,Finished,20,+3.819
2022,MotoGP,GBR,Race,GBR,A. Espargaro,Aprilia Racing,,9.0,7.0,Finished,41,+3.958
2022,MotoGP,GBR,Race,GBR,M. Bezzecchi,Mooney VR46 Racing Team,,10.0,6.0,Finished,72,+6.646
2022,MotoGP,GBR,Race,GBR,B. Binder,Red Bull KTM Factory Racing,,11.0,5.0,Finished,33,+7.730
2022,MotoGP,GBR,Race,GBR,L. Marini,Mooney VR46 Racing Team,,12.0,4.0,Finished,10,+13.439
2022,MotoGP,GBR,Race,GBR,T. Nakagami,LCR Honda IDEMITSU,,13.0,3.0,Finished,30,+13.706
2022,MotoGP,GBR,Race,GBR,P. Espargaro,Repsol Honda Team,,14.0,2.0,Finished,44,+13.906
2022,MotoGP,GBR,Race,GBR,F. Morbidelli,Monster Energy Yamaha MotoGP,,15.0,1.0,Finished,21,+16.359
2022,MotoGP,GBR,Race,GBR,A. Dovizioso,WithU Yamaha RNF MotoGP Team,,16.0,0.0,Finished,4,+20.805
2022,MotoGP,GBR,Race,GBR,A. Marquez,LCR Honda CASTROL,,17.0,0.0,Finished,73,+21.099
2022,MotoGP,GBR,Race,GBR,R. Gardner,Tech3 KTM Factory Racing,,18.0,0.0,Finished,87,+24.579
2022,MotoGP,GBR,Race,GBR,S. Bradl,Repsol Honda Team,,19.0,0.0,Finished,6,+28.773
2022,MotoGP,GBR,Race,GBR,D. Binder,WithU Yamaha RNF MotoGP Team,,20.0,0.0,Finished,40,+33.653
2022,MotoGP,GBR,Race,GBR,R. Fernandez,Tech3 KTM Factory Racing,,21.0,0.0,Finished,25,+35.601
2022,MotoGP,GBR,Race,GBR,F. Di Giannantonio,Gresini Racing MotoGP,,22.0,0.0,Finished,49,+36.460
2022,MotoGP,GBR,Race,GBR,J. Mir,Team SUZUKI ECSTAR,,,0.0,DNF,36,14 laps
2022,MotoGP,GBR,Race,GBR,J. Zarco,Prima Pramac Racing,,,0.0,DNF,5,8 laps
2022,MotoGP,GER,Race,GER,F. Quartararo,Monster Energy Yamaha MotoGP,,1.0,25.0,Finished,20,41:12.816
2022,MotoGP,GER,Race,GER,J. Zarco,Prima Pramac Racing,,2.0,20.0,Finished,5,+4.939
2022,MotoGP,GER,Race,GER,J. Miller,Ducati Lenovo Team,,3.0,16.0,Finished,43,+8.372
2022,MotoGP,GER,Race,GER,A. Espargaro,Aprilia Racing,,4.0,13.0,Finished,41,+9.113
2022,MotoGP,GER,Race,GER,L. Marini,Mooney VR46 Racing Team,,5.0,11.0,Finished,10,+11.679
2022,MotoGP,GER,Race,GER,J. Martin,Prima Pramac Racing,,6.0,10.0,Finished,89,+13.164
2022,MotoGP,GER,Race,GER,B. Binder,Red Bull KTM Factory Racing,,7.0,9.0,Finished,33,+15.405
2022,MotoGP,GER,Race,GER,F. Di Giannantonio,Gresini Racing MotoGP,,8.0,8.0,Finished,49,+15.851
2022,MotoGP,GER,Race,GER,M. Oliveira,Red Bull KTM Factory Racing,,9.0,7.0,Finished,88,+19.740
2022,MotoGP,GER,Race,GER,E. Bastianini,Gresini Racing MotoGP,,10.0,6.0,Finished,23,+21.611
2022,MotoGP,GER,Race,GER,M. Bezzecchi,Mooney VR46 Racing Team,,11.0,5.0,Finished,72,+23.175
2022,MotoGP,GER,Race,GER,R. Fernandez,Tech3 KTM Factory Racing,,12.0,4.0,Finished,25,+26.548
2022,MotoGP,GER,Race,GER,F. Morbidelli,Monster Energy Yamaha MotoGP,,13.0,3.0,Finished,21,+29.014
